date,no_gender,male,female,total,customer,subscriber
7/1/13,13,17,6,36,13,23
7/13/13,7069,10626,4079,21774,7069,14705
7/14/13,9863,14083,5341,29287,9863,19424
7/15/13,4292,18418,5359,28069,4288,23781
7/16/13,3961,19989,5892,29842,3960,25882
7/17/13,4127,20361,6062,30550,4127,26423
7/18/13,3580,19542,5747,28869,3578,25291
7/19/13,3754,17800,5037,26591,3751,22840
7/20/13,7572,12959,4747,25278,7572,17706
7/21/13,9730,14862,5705,30297,9732,20565
7/22/13,3559,17345,5075,25979,3557,22422
7/23/13,3994,21881,6501,32376,3991,28385
7/24/13,4717,23414,7140,35271,4716,30555
7/25/13,3657,21471,5956,31084,3656,27428
7/26/13,5492,22422,6620,34534,5490,29044
7/27/13,10973,15493,6004,32470,10973,21497
7/28/13,6872,12117,4519,23508,6879,16629
7/29/13,5237,22761,6917,34915,5237,29678
7/30/13,5096,24775,7463,37334,5095,32239
7/31/13,4963,24961,7337,37261,4964,32297
8/1/13,1592,14789,3757,20138,1590,18548
8/2/13,5774,23092,6926,35792,5768,30024
8/3/13,9029,14890,5621,29540,9037,20503
8/4/13,12243,16341,6669,35253,12243,23010
8/5/13,6108,23430,7238,36776,6107,30669
8/6/13,5370,24644,7688,37702,5367,32335
8/7/13,4223,23239,6934,34396,4222,30174
8/8/13,3230,19609,5527,28366,3228,25138
8/9/13,3712,19587,5718,29017,3712,25305
8/10/13,13648,16699,6854,37201,13648,23553
8/11/13,11241,15602,6217,33060,11241,21819
8/12/13,4457,20809,6191,31457,4456,27001
8/13/13,2388,15680,4369,22437,2386,20051
8/14/13,4952,25489,7709,38150,4950,33200
8/15/13,4915,25071,7400,37386,4914,32472
8/16/13,5487,23273,7231,35991,5485,30506
8/17/13,13547,16792,6946,37285,13547,23738
8/18/13,7671,14339,5602,27612,7671,19941
8/19/13,4555,22044,6528,33127,4553,28574
8/20/13,4420,24056,7367,35843,4416,31427
8/21/13,4110,24761,7444,36315,4109,32206
8/22/13,2379,18866,5384,26629,2378,24251
8/23/13,4981,21771,6751,33503,4979,28524
8/24/13,9836,16610,6495,32941,9837,23104
8/25/13,9589,15653,6513,31755,9587,22168
8/26/13,3527,20234,6218,29979,3523,26456
8/27/13,3660,23272,7276,34208,3659,30549
8/28/13,2530,19704,5951,28185,2528,25657
8/29/13,3962,23185,7068,34215,3962,30253
8/30/13,4809,21036,6473,32318,4806,27512
8/31/13,8151,12347,4883,25381,8147,17234
9/1/13,9212,11439,4584,25235,9212,16023
9/2/13,5697,11348,4371,21416,5696,15720
9/3/13,3323,22337,6751,32411,3323,29088
9/4/13,3892,25167,7739,36798,3889,32909
9/5/13,4110,24365,7350,35825,4107,31718
9/6/13,4336,24271,7261,35868,4334,31534
9/7/13,8878,18223,7318,34419,8873,25546
9/8/13,8057,17944,7195,33196,8056,25140
9/9/13,3542,24458,7394,35394,3538,31856
9/10/13,3312,25691,7951,36954,3309,33645
9/11/13,3346,24753,7713,35812,3344,32468
9/12/13,2591,22224,6437,31252,2591,28661
9/13/13,3669,25427,7405,36501,3669,32832
9/14/13,7803,16926,6878,31607,7804,23803
9/15/13,7604,17138,7172,31914,7602,24312
9/16/13,2621,22147,6519,31287,2620,28667
9/17/13,3146,26995,8142,38283,3143,35140
9/18/13,3251,26621,8085,37957,3248,34709
9/19/13,3661,27107,8432,39200,3656,35544
9/20/13,4334,26776,8272,39382,4328,35054
9/21/13,7379,17563,6884,31826,7377,24449
9/22/13,6491,16494,6773,29758,6491,23267
9/23/13,3186,24508,7458,35152,3184,31968
9/24/13,3289,27024,8104,38417,3287,35130
9/25/13,3103,26810,8310,38223,3100,35123
9/26/13,3050,26968,8171,38189,3049,35140
9/27/13,3670,25939,7803,37412,3669,33743
9/28/13,8089,19106,7736,34931,8087,26844
9/29/13,7240,18081,7271,32592,7240,25352
9/30/13,3345,25882,7921,37148,3343,33805
10/1/13,3236,28517,8822,40575,3232,37343
10/2/13,3398,28965,9020,41383,3396,37987
10/3/13,3476,28281,8699,40456,3475,36981
10/4/13,4010,27590,8595,40195,4004,36191
10/5/13,7595,19052,7534,34181,7594,26587
10/6/13,4334,16052,6188,26574,4333,22241
10/7/13,1430,18345,5241,25016,1429,23587
10/8/13,2868,27202,8295,38365,2867,35498
10/9/13,2299,26668,8002,36969,2297,34672
10/10/13,1692,23151,6328,31171,1691,29480
10/11/13,2258,24136,6963,33357,2256,31101
10/12/13,6630,18520,7307,32457,6629,25828
10/13/13,5821,16528,6483,28832,5821,23011
10/14/13,3610,22338,7070,33018,3605,29413
10/15/13,2635,26706,8193,37534,2632,34902
10/16/13,2465,26381,8065,36911,2464,34447
10/17/13,2407,26603,7878,36888,2406,34482
10/18/13,3406,26699,8017,38122,3404,34718
10/19/13,5389,17445,6714,29548,5390,24158
10/20/13,5610,16855,6791,29256,5610,23646
10/21/13,2808,24596,7608,35012,2808,32204
10/22/13,2311,26172,7855,36338,2310,34028
10/23/13,1377,24068,6920,32365,1375,30990
10/24/13,1484,23875,6892,32251,1482,30769
10/25/13,1788,22707,6484,30979,1786,29193
10/26/13,3248,15629,5692,24569,3248,21321
10/27/13,3485,14766,5714,23965,3485,20480
10/28/13,1778,22821,6899,31498,1777,29721
10/29/13,1653,24458,7303,33414,1651,31763
10/30/13,1473,25892,7704,35069,1471,33598
10/31/13,1524,23275,6645,31444,1518,29926
11/1/13,2184,22031,6169,30384,2181,28203
11/2/13,6071,17890,7052,31013,6071,24942
11/3/13,2457,13507,4834,20798,2457,18341
11/4/13,1579,19871,5692,27142,1576,25566
11/5/13,1639,23182,6672,31493,1637,29856
11/6/13,1952,25386,7488,34826,1950,32876
11/7/13,727,19805,5187,25719,725,24994
11/8/13,1359,21364,5963,28686,1355,27331
11/9/13,2589,14085,5060,21734,2589,19145
11/10/13,2444,12738,4530,19712,2443,17269
11/11/13,1464,20156,5675,27295,1462,25833
11/12/13,479,15539,3907,19925,479,19446
11/13/13,524,18149,4960,23633,523,23110
11/14/13,741,20527,5772,27040,738,26302
11/15/13,1440,21543,6068,29051,1436,27615
11/16/13,3990,15413,5791,25194,3991,21203
11/17/13,2005,11982,4008,17995,2003,15992
11/18/13,1450,22422,6743,30615,1447,29168
11/19/13,779,20812,5826,27417,778,26639
11/20/13,687,19982,5560,26229,685,25544
11/21/13,941,21791,6020,28752,939,27813
11/22/13,911,19333,5204,25448,909,24539
11/23/13,1867,12658,4471,18996,1867,17129
11/24/13,384,6864,2144,9392,382,9010
11/25/13,379,14856,3881,19116,377,18739
11/26/13,308,11691,3000,14999,307,14692
11/27/13,156,6390,1430,7976,156,7820
11/28/13,558,3509,1137,5204,557,4647
11/29/13,909,7275,1943,10127,909,9218
11/30/13,1044,6635,2184,9863,1044,8819
12/1/13,1127,9097,3102,13326,1127,12199
12/2/13,684,18745,5147,24576,681,23895
12/3/13,676,20832,5923,27431,672,26759
12/4/13,780,21374,6045,28199,780,27419
12/5/13,859,20517,5612,26988,859,26129
12/6/13,233,8519,1984,10736,233,10503
12/7/13,1055,10829,3661,15545,1052,14493
12/8/13,460,7261,2369,10090,460,9630
12/9/13,277,11685,2862,14824,277,14547
12/10/13,175,10416,2259,12850,175,12675
12/11/13,287,14776,3703,18766,287,18479
12/12/13,232,13659,3323,17214,231,16983
12/13/13,394,14055,3439,17888,394,17494
12/14/13,106,2943,652,3701,106,3595
12/15/13,173,5660,1629,7462,174,7288
12/16/13,234,12485,2843,15562,233,15329
12/17/13,81,6501,1281,7863,81,7782
12/18/13,237,12061,2626,14924,237,14687
12/19/13,360,14888,3518,18766,360,18406
12/20/13,828,17138,4100,22066,828,21238
12/21/13,2148,11826,3966,17940,2146,15794
12/22/13,1820,9974,3269,15063,1820,13243
12/23/13,245,5527,1184,6956,245,6711
12/24/13,482,8352,2191,11025,482,10543
12/25/13,420,2217,623,3260,420,2840
12/26/13,416,7494,1853,9763,416,9347
12/27/13,775,8757,2188,11720,775,10945
12/28/13,2114,7489,2419,12022,2114,9908
12/29/13,279,2785,711,3775,279,3496
12/30/13,879,9903,2459,13241,879,12362
12/31/13,558,7822,2044,10424,558,9866
1/1/14,652,4217,1190,6059,652,5407
1/2/14,181,6906,1513,8600,181,8419
1/3/14,21,986,137,1144,21,1123
1/4/14,29,1820,443,2292,29,2263
1/5/14,35,2198,445,2678,35,2643
1/6/14,102,7774,1634,9510,101,9409
1/7/14,28,5288,951,6267,28,6239
1/8/14,57,7589,1600,9246,57,9189
1/9/14,163,10763,2428,13354,163,13191
1/10/14,129,8039,1679,9847,128,9719
1/11/14,194,5863,1638,7695,194,7501
1/12/14,777,8768,2970,12515,776,11739
1/13/14,588,15957,4088,20633,588,20045
1/14/14,157,8068,1774,9999,157,9842
1/15/14,586,16720,4324,21630,585,21045
1/16/14,472,15615,3866,19953,468,19485
1/17/14,783,15495,4023,20301,782,19519
1/18/14,478,6955,2005,9438,478,8960
1/19/14,452,6392,2184,9028,452,8576
1/20/14,516,9968,2923,13407,516,12891
1/21/14,25,3191,588,3804,25,3779
1/22/14,28,2087,336,2451,28,2423
1/23/14,35,4226,810,5071,34,5037
1/24/14,45,5190,941,6176,45,6131
1/25/14,73,3469,796,4338,73,4265
1/26/14,88,3874,1018,4980,88,4892
1/27/14,119,10567,2433,13119,118,13001
1/28/14,50,8222,1761,10033,47,9986
1/29/14,55,8229,1737,10021,55,9966
1/30/14,114,9887,2157,12158,113,12045
1/31/14,237,11783,2633,14653,237,14416
2/1/14,744,9078,2949,12771,744,12027
2/2/14,979,9451,3386,13816,979,12837
2/3/14,22,2215,363,2600,22,2578
2/4/14,85,7074,1550,8709,85,8624
2/5/14,26,2321,399,2746,26,2720
2/6/14,73,5977,1146,7196,73,7123
2/7/14,68,7025,1402,8495,68,8427
2/8/14,116,4646,1224,5986,116,5870
2/9/14,94,3827,1075,4996,94,4902
2/10/14,42,5688,1116,6846,42,6804
2/11/14,45,6880,1418,8343,44,8299
2/12/14,50,7071,1459,8580,46,8534
2/13/14,3,778,95,876,3,873
2/14/14,34,3055,520,3609,34,3575
2/15/14,48,1786,427,2261,48,2213
2/16/14,87,2359,557,3003,87,2916
2/17/14,101,3878,875,4854,101,4753
2/18/14,50,4321,769,5140,50,5090
2/19/14,79,6990,1437,8506,77,8429
2/20/14,192,9586,2014,11792,191,11601
2/21/14,130,7114,1436,8680,129,8551
2/22/14,1408,8771,2865,13044,1408,11636
2/23/14,1442,8802,3080,13324,1441,11883
2/24/14,226,10395,2301,12922,226,12696
2/25/14,198,10385,2247,12830,197,12633
2/26/14,121,9265,1802,11188,120,11068
2/27/14,143,9910,1983,12036,142,11894
2/28/14,125,7878,1584,9587,124,9463
3/1/14,588,6655,1959,9202,588,8614
3/2/14,439,5996,1760,8195,437,7758
3/3/14,125,6316,1267,7708,125,7583
3/4/14,128,8535,1735,10398,127,10271
3/5/14,220,11176,2405,13801,219,13582
3/6/14,176,10340,2257,12773,175,12598
3/7/14,253,10745,2306,13304,252,13052
3/8/14,2371,10393,3586,16350,2369,13981
3/9/14,1203,8257,2802,12262,1201,11061
3/10/14,547,13407,3277,17231,544,16687
3/11/14,1378,17985,4993,24356,1375,22981
3/12/14,483,11627,2991,15101,481,14620
3/13/14,211,8906,1862,10979,211,10768
3/14/14,603,12654,3042,16299,602,15697
3/15/14,2634,11412,4007,18053,2635,15418
3/16/14,724,6945,2182,9851,723,9128
3/17/14,322,9957,2224,12503,319,12184
3/18/14,544,13070,3065,16679,541,16138
3/19/14,282,10546,2513,13341,282,13059
3/20/14,743,15097,3855,19695,741,18954
3/21/14,975,15718,4025,20718,972,19746
3/22/14,3379,12086,4415,19880,3379,16501
3/23/14,1273,7889,2578,11740,1273,10467
3/24/14,350,10694,2554,13598,349,13249
3/25/14,375,12674,2988,16037,372,15665
3/26/14,245,11713,2542,14500,245,14255
3/27/14,432,13125,3109,16666,427,16239
3/28/14,611,14386,3428,18425,609,17816
3/29/14,247,3366,867,4480,247,4233
3/30/14,465,5722,1720,7907,464,7443
3/31/14,599,13176,3310,17085,598,16487
4/1/14,1141,17967,4800,23908,1136,22772
4/2/14,649,17454,4412,22515,643,21872
4/3/14,1368,19791,5162,26321,1359,24962
4/4/14,329,10044,2193,12566,328,12238
4/5/14,2487,12141,4027,18655,2487,16168
4/6/14,3600,12524,4626,20750,3600,17150
4/7/14,607,11219,2851,14677,603,14074
4/8/14,798,16662,4424,21884,794,21090
4/9/14,1177,20349,5405,26931,1173,25758
4/10/14,1409,20578,5476,27463,1401,26062
4/11/14,1477,19986,5335,26798,1471,25327
4/12/14,5629,15728,5751,27108,5628,21480
4/13/14,5537,15368,5966,26871,5537,21334
4/14/14,2801,20274,5757,28832,2799,26033
4/15/14,368,8309,1846,10523,367,10156
4/16/14,989,15249,3844,20082,987,19095
4/17/14,1341,16818,4123,22282,1338,20944
4/18/14,1747,15070,3953,20770,1745,19025
4/19/14,6003,13468,4898,24369,6003,18366
4/20/14,4210,10551,3703,18464,4209,14255
4/21/14,2415,19351,5358,27124,2415,24709
4/22/14,1800,20024,5435,27259,1798,25461
4/23/14,1373,20200,5376,26949,1373,25576
4/24/14,1727,20762,5618,28107,1727,26380
4/25/14,2101,20440,5378,27919,2101,25818
4/26/14,3463,12082,4354,19899,3462,16437
4/27/14,3862,13241,4823,21926,3861,18065
4/28/14,2027,20918,5612,28557,2027,26530
4/29/14,627,14434,3343,18404,626,17778
4/30/14,50,2393,424,2867,49,2818
5/1/14,1694,19763,5305,26762,1692,25070
5/2/14,3059,23069,6249,32377,3050,29327
5/3/14,5353,14891,5257,25501,5354,20147
5/4/14,3798,12922,4557,21277,3798,17479
5/5/14,2563,21523,6202,30288,2562,27726
5/6/14,2344,23405,6484,32233,2340,29893
5/7/14,2594,23651,6637,32882,2592,30290
5/8/14,1059,13368,3192,17619,1057,16562
5/9/14,1634,16911,4096,22641,1632,21009
5/10/14,3708,13427,4697,21832,3707,18125
5/11/14,6612,15689,6025,28326,6609,21717
5/12/14,2681,22331,6632,31644,2681,28963
5/13/14,2298,23905,6644,32847,2297,30550
5/14/14,1796,22120,6128,30044,1793,28251
5/15/14,1507,19282,5268,26057,1506,24551
5/16/14,813,13569,3402,17784,812,16972
5/17/14,6781,16823,6308,29912,6780,23132
5/18/14,6274,15291,5871,27436,6274,21162
5/19/14,2775,22511,6406,31692,2772,28920
5/20/14,3051,25124,7392,35567,3049,32518
5/21/14,2708,24666,7046,34420,2701,31719
5/22/14,1575,18377,4583,24535,1572,22963
5/23/14,2157,17492,4835,24484,2148,22336
5/24/14,3742,9575,3481,16798,3744,13054
5/25/14,8924,11927,4786,25637,8924,16713
5/26/14,8287,13449,5194,26930,8287,18643
5/27/14,3497,22858,6581,32936,3497,29439
5/28/14,1978,21932,5780,29690,1976,27714
5/29/14,2904,24084,6901,33889,2900,30989
5/30/14,3378,23966,6999,34343,3377,30966
5/31/14,6067,15795,5872,27734,6068,21666